,domain,slotname,slotname_acc,domain_acc,cluster
0,出租,出租出发地,1.0,0.9931506849315068,0
1,出租,出租目的地,0.9726027397260274,0.9931506849315068,0
2,出租,出租车型,1.0,0.9931506849315068,0
3,出租,出租车牌,1.0,0.9931506849315068,0
4,地铁,地铁出发地,0.975609756097561,0.9695121951219512,0
5,地铁,地铁出发地附近地铁站,0.9512195121951219,0.9695121951219512,1
6,地铁,地铁目的地,0.975609756097561,0.9695121951219512,0
7,地铁,地铁目的地附近地铁站,0.975609756097561,0.9695121951219512,1
8,景点,景点名称,0.9709443099273608,0.9534412955465587,0
9,景点,景点周边景点,0.8990825688073395,0.9534412955465587,0
10,景点,景点周边酒店,0.8947368421052632,0.9534412955465587,0
11,景点,景点周边餐馆,0.8258064516129032,0.9534412955465587,0
12,景点,景点地址,0.9859154929577465,0.9534412955465587,0
13,景点,景点游玩时间,0.9903536977491961,0.9534412955465587,0
14,景点,景点电话,0.9007633587786259,0.9534412955465587,0
15,景点,景点评分,0.9900332225913622,0.9534412955465587,0
16,景点,景点门票,0.97,0.9534412955465587,0
17,酒店,酒店价格,0.99609375,0.9761564139246542,0
18,酒店,酒店名称,0.9731051344743277,0.9761564139246542,0
19,酒店,酒店周边景点,0.9478260869565217,0.9761564139246542,0
20,酒店,酒店周边餐馆,0.8582677165354331,0.9761564139246542,0
21,酒店,酒店地址,0.9736842105263158,0.9761564139246542,0
22,酒店,酒店电话,0.9833333333333333,0.9761564139246542,0
23,酒店,酒店评分,0.988,0.9761564139246542,0
24,酒店,酒店酒店类型,0.9929078014184397,0.9761564139246542,0
25,酒店,酒店酒店设施-24小时热水,1.0,0.9761564139246542,1
26,酒店,酒店酒店设施-SPA,1.0,0.9761564139246542,1
27,酒店,酒店酒店设施-中式餐厅,1.0,0.9761564139246542,1
28,酒店,酒店酒店设施-会议室,1.0,0.9761564139246542,1
29,酒店,酒店酒店设施-健身房,1.0,0.9761564139246542,1
30,酒店,酒店酒店设施-免费国内长途电话,1.0,0.9761564139246542,1
31,酒店,酒店酒店设施-免费市内电话,1.0,0.9761564139246542,1
32,酒店,酒店酒店设施-公共区域和部分房间提供wifi,0.9375,0.9761564139246542,1
33,酒店,酒店酒店设施-公共区域提供wifi,1.0,0.9761564139246542,1
34,酒店,酒店酒店设施-叫醒服务,1.0,0.9761564139246542,1
35,酒店,酒店酒店设施-吹风机,1.0,0.9761564139246542,1
36,酒店,酒店酒店设施-商务中心,0.8571428571428571,0.9761564139246542,1
37,酒店,酒店酒店设施-国际长途电话,1.0,0.9761564139246542,1
38,酒店,酒店酒店设施-室内游泳池,1.0,0.9761564139246542,1
39,酒店,酒店酒店设施-室外游泳池,1.0,0.9761564139246542,1
40,酒店,酒店酒店设施-宽带上网,1.0,0.9761564139246542,1
41,酒店,酒店酒店设施-所有房间提供wifi,1.0,0.9761564139246542,1
42,酒店,酒店酒店设施-接待外宾,1.0,0.9761564139246542,1
43,酒店,酒店酒店设施-接机服务,1.0,0.9761564139246542,1
44,酒店,酒店酒店设施-接站服务,1.0,0.9761564139246542,1
45,酒店,酒店酒店设施-收费停车位,1.0,0.9761564139246542,1
46,酒店,酒店酒店设施-无烟房,1.0,0.9761564139246542,1
47,酒店,酒店酒店设施-早餐服务,1.0,0.9761564139246542,1
48,酒店,酒店酒店设施-早餐服务免费,1.0,0.9761564139246542,1
49,酒店,酒店酒店设施-暖气,0.9230769230769231,0.9761564139246542,1
50,酒店,酒店酒店设施-桑拿,1.0,0.9761564139246542,1
51,酒店,酒店酒店设施-棋牌室,1.0,0.9761564139246542,1
52,酒店,酒店酒店设施-残疾人设施,0.9166666666666666,0.9761564139246542,1
53,酒店,酒店酒店设施-洗衣服务,1.0,0.9761564139246542,1
54,酒店,酒店酒店设施-温泉,1.0,0.9761564139246542,1
55,酒店,酒店酒店设施-看护小孩服务,1.0,0.9761564139246542,1
56,酒店,酒店酒店设施-租车,1.0,0.9761564139246542,1
57,酒店,酒店酒店设施-行李寄存,1.0,0.9761564139246542,1
58,酒店,酒店酒店设施-西式餐厅,1.0,0.9761564139246542,1
59,酒店,酒店酒店设施-部分房间提供wifi,1.0,0.9761564139246542,1
60,酒店,酒店酒店设施-酒吧,1.0,0.9761564139246542,1
61,酒店,酒店酒店设施-酒店各处提供wifi,1.0,0.9761564139246542,1
62,餐馆,餐馆人均消费,0.9969418960244648,0.9476661951909476,0
63,餐馆,餐馆名称,0.9508196721311475,0.9476661951909476,0
64,餐馆,餐馆周边景点,0.9844961240310077,0.9476661951909476,0
65,餐馆,餐馆周边酒店,0.859375,0.9476661951909476,0
66,餐馆,餐馆周边餐馆,0.8962264150943396,0.9476661951909476,0
67,餐馆,餐馆地址,0.9663865546218487,0.9476661951909476,0
68,餐馆,餐馆推荐菜,0.9440993788819876,0.9476661951909476,0
69,餐馆,餐馆电话,0.940677966101695,0.9476661951909476,0
70,餐馆,餐馆营业时间,0.7983193277310925,0.9476661951909476,0
71,餐馆,餐馆评分,0.9846625766871165,0.9476661951909476,0
